gene	conMean	treatMean	logFC	pValue	fdr
ADCY9	6.49956153846154	2.65203076923077	-1.29324488307167	1.89199926029637e-15	3.25931006593323e-14
TBC1D9	5.86400256410256	2.52655128205128	-1.21471627130717	8.15375114965833e-13	6.77856625426819e-12
PIK3CG	2.20639230769231	0.693348717948718	-1.67003629244555	8.96910051205712e-14	9.60728651003042e-13
UNC5C	1.25997692307692	0.237371794871795	-2.40817688496247	1.52275110586765e-13	1.52366293287715e-12
SPART	3.70995897435897	1.61261538461538	-1.20200084242209	5.61080189831317e-10	2.49352392874503e-09
POSTN	13.9006435897436	35.3153820512821	1.34514502381649	0.0288026223139547	0.0384725674553304
PCNX2	0.467379487179487	1.23772820512821	1.4050282232646	1.12773425548351e-16	2.89914452448145e-15
ADAMTS1	10.8289923076923	3.55988974358974	-1.60499453510205	1.67401241424635e-06	4.20011222853701e-06
PDZRN4	2.83311794871795	0.286307692307692	-3.30675232816928	1.23088383526153e-09	5.14201722180504e-09
FCRL5	0.957492307692308	0.382264102564103	-1.32469116998841	1.07820086020718e-06	2.78036055155277e-06
CENPE	0.754948717948718	1.96222820512821	1.37804228157739	1.38171990755138e-08	4.85053354100495e-08
CLCN4	0.415166666666667	1.39135641025641	1.74472950753882	2.28705336626686e-08	7.70497212708049e-08
NUP210	5.75495897435897	15.6906846153846	1.44703075239701	4.17457634201298e-09	1.59627392849055e-08
ESPL1	1.6268	3.68998461538462	1.18157790537174	3.30309133871026e-13	3.06636979276936e-12
ITGAL	2.54421282051282	1.26110512820513	-1.01253080889473	9.25831318313084e-07	2.42867210816509e-06
ZBTB7C	12.3977666666667	2.49341025641026	-2.31388807384794	4.15648080965791e-16	8.90446081145944e-15
SH3BP4	8.17118461538461	17.8691153846154	1.12885106215144	8.88167843394037e-15	1.19687779541245e-13
PPRC1	5.46460769230769	12.9623205128205	1.24613417968449	5.66342050150542e-17	1.57726260966926e-15
BCHE	4.51461025641026	0.182538461538462	-4.6283290636954	8.31448599745893e-14	8.96355232371218e-13
FYB1	2.52171538461538	1.24402820512821	-1.01938625872201	8.24960664063601e-09	3.02304664396991e-08
MMP9	7.48149230769231	26.0205102564103	1.79825127988453	0.000184666767555421	0.000351455772875978
CHRM2	1.67558974358974	0.264961538461538	-2.66081409860908	3.03319371386433e-07	8.60520661437571e-07
HEATR1	2.63843846153846	6.24726153846154	1.24353959410464	1.97313781316901e-14	2.40665203343461e-13
MYH11	221.575930769231	20.2342512820513	-3.45292980181942	2.28570831558502e-09	9.02935838142451e-09
FER1L6	4.13065641025641	0.433007692307692	-3.25390650167908	1.84957964403408e-12	1.417728250083e-11
B2M	895.307279487179	443.193397435897	-1.01444652776186	6.23471338367951e-11	3.49604230339881e-10
NCKAP1L	3.85167948717949	1.76311282051282	-1.12736286127759	3.37328017574918e-10	1.59230259143415e-09
PDE3A	6.33794102564103	1.84383076923077	-1.7813079873692	1.97313781316901e-14	2.40665203343461e-13
ATP8B1	66.9280923076923	23.8886102564103	-1.48628896685011	5.89111035029236e-15	8.63512753977064e-14
CAD	4.91282051282051	15.9749307692308	1.70118624185999	7.12789411081028e-21	9.92559254930332e-19
FAM214A	3.34778717948718	1.52447435897436	-1.13489593293448	7.72825017772383e-16	1.48435701689385e-14
GRM8	0.503851282051282	2.76332051282051	2.45533303523292	6.6040975773724e-05	0.000133117576016759
APBB1	4.27319230769231	1.81962820512821	-1.23167054210134	1.05123035790966e-06	2.71500143441583e-06
SIGLEC8	1.19605384615385	0.310658974358974	-1.94487870413324	3.70702277190667e-10	1.73028912063018e-09
CPSF1	14.1924512820513	30.0410307692308	1.08181052618943	1.97313781316901e-14	2.40665203343461e-13
TRANK1	11.1541974358974	2.39286666666667	-2.22077479730224	5.66342050150542e-17	1.57726260966926e-15
RPGRIP1L	0.327920512820513	0.883335897435897	1.42961599037537	5.6816532137402e-16	1.13024315716189e-14
NCAM1	2.00017435897436	0.306730769230769	-2.70508096719529	1.84957964403408e-12	1.417728250083e-11
